datetime,open,high,low,close,volume,pure_bond_value,convert_value,pure_bond_premium_rate,convert_premium_rate
2017-06-13,117.80258727326841,118.63162936228827,117.11730864997476,117.92138465341526,3054217.0,87.38355391270497,100.34226385767613,41.60366198004267,24.57990534536348
2017-06-14,119.32396739816204,119.9256540498629,118.58201729441758,119.18192409554642,3447413.0,88.99442743999629,105.23999464871196,36.16400347878249,19.38619637911094
2017-06-15,109.55080225070722,110.94871879667528,109.29959671828641,110.37766022461251,3360988.0,87.39204304630066,86.48748186940865,34.62374713688356,35.04002079924118
2017-06-16,119.91892003972404,120.81753702502245,118.5112982091459,119.74787642366995,2811396.0,88.41320154044469,104.96522415173813,39.28470143565688,19.85038066693557
2017-06-19,121.00312963736548,124.50286616448044,120.88166691464718,123.49207655710376,6489757.0,89.53732442019019,111.44409943501738,39.65874582133045,15.076829966206748
2017-06-20,120.59789613780177,124.16910042212207,119.93324870995599,122.57121432476534,8091972.0,88.46632999182398,105.91991154897717,42.59778562838576,21.388088285389514
2017-06-21,122.2027726315451,123.46807502684264,119.49263448206551,120.91191610965211,8646692.0,91.02340779850837,106.18145837958609,34.20099258693383,20.45320891852052
2017-06-22,123.30990096466074,129.32174467410186,122.30660709558335,125.94685074811177,8300431.0,88.47176106913003,115.48136864843526,44.997774852462484,14.004690128271655
2017-06-23,124.53056260049496,126.22984390074241,121.87238227057551,124.10245419660747,5828029.0,88.12407435659638,113.27212919395218,43.6474984711984,13.141072781655684
2017-06-26,124.73053444850774,129.24527321425842,124.52198978898957,128.1379498591336,9027706.0,87.90263175446788,118.3939287658792,51.561859085508544,11.491696380907843
2017-06-27,124.62090638784511,126.36136709025642,123.0911835654393,124.54233538063468,4529540.0,83.85716658298637,111.06870186252908,64.29180767267758,17.588126093731372
2017-06-28,121.99854772875935,122.67189339888826,120.55834899342278,120.66799482645946,3300641.0,87.72086650623318,104.31777816178736,42.966009920073105,21.1328736751437
2017-06-29,122.40169625449862,123.28649038934844,119.60111149326929,120.19283050181903,4489706.0,88.23196932638794,107.72871349515984,40.65830970268432,15.357947225542164
2017-06-30,118.03997853416588,118.43699284099367,115.70938174436932,117.35737693485397,4559711.0,88.32253185353194,102.76897720230517,37.103836713050455,17.43991817759941
2017-07-03,107.21784465828624,109.27820945574152,106.39082280472132,107.79560408602019,7276616.0,92.97866609028154,80.2115968452231,17.798890125176317,37.03195655446158
2017-07-04,113.08405678969719,114.80088669015954,112.80862180920286,113.57336347298006,3446435.0,85.83864844162156,93.57055084883365,47.007508557161245,25.280592218219695
2017-07-05,115.45823217982331,116.49644556746257,114.77204362715126,116.12244426750588,3969363.0,89.61517066040572,97.47075192563643,32.199646767932286,23.302805034082297
