Date,Time,Open,High,Low,Close,Volume
20240207,10:15:00,2033.46,2034.01,2033.30,2033.74,29760
20240207,10:20:00,2033.73,2033.76,2033.03,2033.17,19380
20240207,10:25:00,2033.15,2033.38,2032.88,2033.17,61380
20240207,10:30:00,2033.12,2033.40,2032.90,2033.26,174300
20240207,10:35:00,2033.24,2033.48,2033.16,2033.16,41220
20240207,10:40:00,2033.16,2033.28,2032.79,2033.20,22560
20240207,10:45:00,2033.22,2033.52,2032.77,2032.97,26130
20240207,10:50:00,2032.95,2033.10,2032.60,2032.82,25620
20240207,10:55:00,2032.82,2033.18,2032.73,2033.12,29329
20240207,11:00:00,2033.07,2033.44,2032.64,2033.03,28170
20240207,11:05:00,2033.07,2033.42,2032.82,2033.16,40680
20240207,11:10:00,2033.13,2033.67,2033.01,2033.62,40050
20240207,11:15:00,2033.62,2034.44,2033.61,2034.04,30630
20240207,11:20:00,2034.05,2034.99,2034.05,2034.78,86140
20240207,11:25:00,2034.78,2035.28,2034.68,2034.88,83360
20240207,11:30:00,2034.87,2035.44,2034.78,2035.41,23970
20240207,11:35:00,2035.44,2035.70,2034.68,2034.97,21960
20240207,11:40:00,2035.01,2035.02,2033.87,2034.03,21570
20240207,11:45:00,2034.02,2034.13,2033.83,2034.05,15480
20240207,11:50:00,2034.03,2034.03,2033.30,2033.51,16680
20240207,11:55:00,2033.47,2034.19,2033.31,2034.04,29577
20240207,12:00:00,2034.04,2034.18,2032.88,2032.96,50700
20240207,12:05:00,2032.97,2033.76,2032.90,2033.48,50220
20240207,12:10:00,2033.46,2033.60,2032.18,2032.38,26220
20240207,12:15:00,2032.42,2032.87,2032.21,2032.54,53310
20240207,12:20:00,2032.54,2032.55,2031.81,2031.93,26520
20240207,12:25:00,2031.99,2032.17,2031.41,2031.71,32160
20240207,12:30:00,2031.69,2031.71,2030.88,2030.95,54180
20240207,12:35:00,2030.94,2032.11,2030.51,2032.05,37079
20240207,12:40:00,2032.05,2033.48,2032.04,2033.48,31480
20240207,12:45:00,2033.47,2033.71,2032.69,2032.96,41820
20240207,12:50:00,2033.05,2033.82,2032.72,2033.66,21780
20240207,12:55:00,2033.71,2033.87,2033.30,2033.38,17700
20240207,13:00:00,2033.47,2033.62,2032.36,2032.96,48100
20240207,13:05:00,2032.94,2033.30,2032.30,2032.84,40200
20240207,13:10:00,2032.84,2033.04,2032.27,2032.61,55080
20240207,13:15:00,2032.58,2033.05,2032.40,2032.79,58200
20240207,13:20:00,2032.81,2035.03,2032.81,2034.77,95860
20240207,13:25:00,2034.69,2035.06,2033.54,2034.48,107340
