BOND_CODE,BOND_SYMBOL,TRADE_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,PURE_BOND_VALUE,CONVERT_VALUE,PURE_BOND_PREMIUM_RATE,CONVERT_PREMIUM_RATE
113013,sh113013,2019-01-10,108.13,109.4,108.13,109.14,732480,93.1883,83.9394,17.1177,30.0224
113013,sh113013,2019-01-11,108.48,109.8,108.06,109.51,849510,93.1761,84.1919,17.5302,30.0719
113013,sh113013,2019-01-14,109.55,110.02,107.94,108.0,833620,93.1002,83.2828,16.0041,29.6786
113013,sh113013,2019-01-15,108.2,110.0,108.01,108.74,814010,93.0014,84.5455,16.923,28.6172
113013,sh113013,2019-01-16,108.73,109.05,108.56,108.71,475280,93.1124,84.3939,16.7514,28.8126
113013,sh113013,2019-01-17,108.79,109.24,108.39,108.5,1045440,93.2159,83.2323,16.3964,30.358
113013,sh113013,2019-01-18,108.7,109.45,108.59,109.19,595290,93.29,84.0909,17.0436,29.8476
113013,sh113013,2019-01-21,109.19,109.86,109.1,109.13,249660,93.2415,83.2323,17.0401,31.1149
113013,sh113013,2019-01-22,108.71,109.83,108.67,108.84,546160,93.155,81.4646,16.8375,33.604
113013,sh113013,2019-01-23,108.42,109.49,108.41,109.22,106810,93.1433,81.3131,17.2602,34.3202
113013,sh113013,2019-01-24,108.98,110.55,108.74,110.36,308210,93.0898,82.1212,18.5522,34.3867
113013,sh113013,2019-01-25,110.04,111.82,110.04,111.2,307500,93.07,82.4242,19.4799,34.9118
113013,sh113013,2019-01-28,111.21,112.5,110.51,110.68,266330,93.0708,83.7879,18.9203,32.0955
113013,sh113013,2019-01-29,110.53,111.5,109.35,111.3,500080,93.0852,83.2828,19.5679,33.641
113013,sh113013,2019-01-30,111.31,111.8,110.66,111.36,232680,93.0626,82.2727,19.6614,35.3547
113013,sh113013,2019-01-31,111.0,111.88,110.5,110.9,1110470,93.1205,84.697,19.093,30.9374
113013,sh113013,2019-02-01,111.5,112.5,111.39,112.0,646790,93.2208,86.3636,20.1449,29.6842
113013,sh113013,2019-02-11,112.0,112.86,111.25,112.75,666160,93.3335,87.1212,20.8034,29.4174
113013,sh113013,2019-02-12,112.8,114.0,112.16,113.75,589750,93.3971,88.3333,21.7917,28.7736
113013,sh113013,2019-02-13,114.49,114.7,113.39,114.44,832830,93.4458,90.303,22.4667,26.7289
113013,sh113013,2019-02-14,114.44,114.9,113.4,114.79,1262430,93.519,89.6465,22.7451,28.0474
113013,sh113013,2019-02-15,114.79,114.79,113.21,113.5,733150,93.5183,87.6263,21.3666,29.5274
113013,sh113013,2019-02-18,114.89,117.45,113.53,116.55,1074550,93.5096,91.1616,24.6396,27.8499
113013,sh113013,2019-02-19,116.61,119.0,115.1,115.8,1503080,93.5078,90.3535,23.8399,28.1632
113013,sh113013,2019-02-20,116.99,116.99,115.5,116.0,818600,93.5151,89.9495,24.0441,28.9613
113013,sh113013,2019-02-21,116.66,119.3,115.52,116.33,1068340,93.4713,90.3535,24.4553,28.7498
113013,sh113013,2019-02-22,117.0,120.75,116.03,119.55,2725160,93.4126,98.4848,27.9806,21.3892
113013,sh113013,2019-02-25,121.1,125.88,120.87,124.91,4942580,93.3409,108.3333,33.8213,15.3015
113013,sh113013,2019-02-26,125.75,125.8,123.2,123.5,2777840,93.1514,103.8889,32.5799,18.877
113013,sh113013,2019-02-27,123.05,123.98,120.11,120.7,2991650,93.1007,101.4646,29.6446,18.9577
113013,sh113013,2019-02-28,120.8,121.49,119.11,120.13,3162500,93.0261,98.5354,29.1358,21.9156
113013,sh113013,2019-03-01,120.99,123.0,118.3,121.84,2697840,93.0132,100.8081,30.9922,20.8633
113013,sh113013,2019-03-04,122.99,123.88,121.22,122.51,3520710,92.8721,101.0606,31.9125,21.2243
113013,sh113013,2019-03-05,122.05,122.88,121.0,122.14,811780,92.8051,101.4646,31.6091,20.3769
113013,sh113013,2019-03-06,122.22,123.0,120.0,121.63,2843620,92.6853,104.899,31.229,15.9496
113013,sh113013,2019-03-07,122.0,123.88,121.64,122.32,3654920,92.8166,110.1515,31.7868,11.047
113013,sh113013,2019-03-08,120.0,122.6,117.01,117.72,3273950,92.964,101.0606,26.6296,16.4846
113013,sh113013,2019-03-11,116.0,120.28,116.0,119.81,2709670,93.0414,102.1717,28.7706,17.2634
113013,sh113013,2019-03-12,119.81,122.0,119.01,120.46,2909730,92.9616,103.6869,29.5804,16.1767
113013,sh113013,2019-03-13,120.46,120.46,118.12,119.42,1508580,93.0245,101.5152,28.3748,17.6376
113013,sh113013,2019-03-14,118.95,119.92,118.01,118.23,921880,92.9571,97.0707,27.1877,21.7978
113013,sh113013,2019-03-15,118.99,119.88,118.1,118.7,711420,92.9007,97.2222,27.7709,22.0914
113013,sh113013,2019-03-18,118.24,120.3,118.12,120.05,1725720,92.896,99.7475,29.2305,20.3539
113013,sh113013,2019-03-19,120.3,121.15,119.96,120.46,777080,92.8819,99.0404,29.6916,21.6271
113013,sh113013,2019-03-20,120.46,121.0,119.33,120.0,1065700,92.8711,99.4949,29.2113,20.6091
113013,sh113013,2019-03-21,120.26,121.46,119.5,121.18,1648170,92.9599,100.9596,30.3573,20.0282
113013,sh113013,2019-03-22,121.19,121.5,120.63,121.27,326050,92.9696,100.3535,30.4405,20.8428
113013,sh113013,2019-03-25,121.5,121.5,118.8,119.28,505550,93.1861,97.0202,28.002,22.9435
113013,sh113013,2019-03-26,118.79,119.41,115.6,115.96,1345480,93.1965,94.8485,24.4252,22.2581
113013,sh113013,2019-03-27,116.99,116.99,115.27,116.11,1391180,93.2482,95.5051,24.5171,21.5747
113013,sh113013,2019-03-28,115.68,116.16,114.62,114.79,1494860,93.2713,94.9495,23.0711,20.8959
113013,sh113013,2019-03-29,114.84,118.9,114.55,118.7,1286010,93.3214,101.7677,27.1949,16.6382
113013,sh113013,2019-04-01,118.19,123.29,118.19,121.58,1811920,93.2743,103.1818,30.3467,17.8308
